DATE,CPI,UNRATE
1/1/48,7.67221,3.7500000000000000
1/1/49,-0.9808,6.0500000000000000
1/1/50,1.06402,5.2083333333333333
1/1/51,7.94113,3.2833333333333333
1/1/52,2.28439,3.0250000000000000
1/1/53,0.7591,2.9250000000000000
1/1/54,0.36112,5.5916666666666667
1/1/55,-0.25746,4.3666666666666667
1/1/56,1.47411,4.1250000000000000
1/1/57,3.39269,4.3000000000000000
1/1/58,2.73002,6.8416666666666667
1/1/59,0.93199,5.4500000000000000
1/1/60,1.49228,5.5416666666666667
1/1/61,1.07036,6.6916666666666667
1/1/62,1.17608,5.5666666666666667
1/1/63,1.25606,5.6416666666666667
1/1/64,1.32209,5.1583333333333333
1/1/65,1.57869,4.5083333333333333
1/1/66,2.98937,3.7916666666666667
1/1/67,2.78455,3.8416666666666667
1/1/68,4.24469,3.5583333333333333
1/1/69,5.43713,3.4916666666666667
1/1/70,5.88369,4.9833333333333333
1/1/71,4.22656,5.9500000000000000
1/1/72,3.27295,5.6000000000000000
1/1/73,6.25872,4.8583333333333333
1/1/74,11.01107,5.6416666666666667
1/1/75,9.1416,8.4750000000000000
1/1/76,5.77489,7.7000000000000000
1/1/77,6.46956,7.0500000000000000
1/1/78,7.62991,6.0666666666666667
1/1/79,11.25303,5.8500000000000000
1/1/80,13.50172,7.1750000000000000
1/1/81,10.37831,7.6166666666666667
1/1/82,6.15836,9.7083333333333333
1/1/83,3.15953,9.6000000000000000
1/1/84,4.3682,7.5083333333333333
1/1/85,3.5279,7.1916666666666667
1/1/86,1.94393,7.0000000000000000
1/1/87,3.57821,6.1750000000000000
1/1/88,4.10004,5.4916666666666667
1/1/89,4.79109,5.2583333333333333
1/1/90,5.41922,5.6166666666666667
1/1/91,4.21583,6.8500000000000000
1/1/92,3.04162,7.4916666666666667
1/1/93,2.96965,6.9083333333333333
1/1/94,2.5956,6.1000000000000000
1/1/95,2.80542,5.5916666666666667
1/1/96,2.93667,5.4083333333333333
1/1/97,2.33757,4.9416666666666667
1/1/98,1.54701,4.5000000000000000
1/1/99,2.19314,4.2166666666666667
1/1/00,3.36668,3.9666666666666667
1/1/01,2.81663,4.7416666666666667
1/1/02,1.59567,5.7833333333333333
1/1/03,2.298,5.9916666666666667
1/1/04,2.66757,5.5416666666666667
1/1/05,3.36583,5.0833333333333333
1/1/06,3.22209,4.6083333333333333
1/1/07,2.87055,4.6166666666666667
1/1/08,3.81495,5.8000000000000000
1/1/09,-0.32036,9.2833333333333333
1/1/10,1.63657,9.6083333333333333
1/1/11,3.13965,8.9333333333333333
1/1/12,2.07319,8.0750000000000000
1/1/13,1.46597,7.3583333333333333
1/1/14,1.61546,6.1583333333333333
1/1/15,0.12114,5.2750000000000000
1/1/16,1.26736,4.8750000000000000
1/1/17,2.13144,4.3583333333333333
1/1/18,2.439,3.8916666666666667
1/1/19,1.81326,3.6750000000000000
1/1/20,1.24919,8.0916666666666667
1/1/21,4.68219,5.3500000000000000
1/1/22,7.99169,3.6333333333333333
1/1/23,4.12827,3.6250000000000000
1/1/24,.,.